Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
1,S,-62.14416324633826,-33.80020220924775,104.111862,BC,18/19,1
4,M,-62.15541768921365,-33.80174165962358,105.698082,BC,18/19,4
6,N,-62.16361536982659,-33.80809159971218,104.233162,BC,18/19,6
7,M,-62.164773234319945,-33.81367146108375,103.859932,BC,18/19,7
9,M,-62.09720026248786,-33.778627748600684,98.532104,BC,18/19,9
10,N,-62.09946967689482,-33.775894467381505,98.532104,BC,18/19,10
14,S,-62.13119516401269,-33.7892713153716,103.085487,BC,18/19,14
15,S,-62.14022650706085,-33.79708473742619,101.863167,BC,18/19,15
23,S,-62.20742896225508,-33.844642692435954,115.140739,BC,18/19,23
25,N,-62.17222988165713,-33.81601874228309,103.58934000000001,BC,18/19,25
26,N,-62.17375826278837,-33.81297880842235,103.58934000000001,BC,18/19,26
27,N,-62.17422140858571,-33.817827259273074,103.561348,BC,18/19,27
28,A,-62.17727817084816,-33.81444106857418,103.561348,BC,18/19,28
30,M,-62.183715897431206,-33.81686528691121,103.253433,BC,18/19,30
33,S,-62.05285405239242,-33.75454492603374,102.544304,BC,18/19,33
34,M,-62.05540135427779,-33.75200341815144,102.544304,BC,18/19,34
38,P,-62.07987860966729,-33.765653511638085,100.799461,BC,18/19,38
39,P,-62.088979424585055,-33.773950319917006,102.068436,BC,18/19,39
45,M,-62.03739656140616,-33.74570708551937,97.011208,BC,18/19,45
46,S,-62.03952703207393,-33.74407034842987,97.011208,BC,18/19,46
49,N,-62.14194014651103,-33.87944788148834,110.792633,BC,18/19,49
52,M,-62.14180120277182,-33.884907739368664,108.525276,BC,18/19,52
54,S,-62.13675291358079,-33.88840647867912,108.292007,BC,18/19,54
55,N,-62.13087096195457,-33.886714798468226,106.845757,BC,18/19,55
57,S,-62.146478975324975,-33.87075752803806,113.059998,BC,18/19,57
60,S,-62.14620108784657,-33.8759872272956,108.627914,BC,18/19,60
61,N,-62.14184751735156,-33.87617948954359,110.801964,BC,18/19,61
62,N,-62.145784256628964,-33.87517972112423,110.801964,BC,18/19,62
64,S,-62.14782209813726,-33.87825589422206,107.274963,BC,18/19,64
65,N,-62.1231827417187,-33.89413487386679,108.609253,BC,18/19,65
66,M,-62.12179330432667,-33.89809454630533,108.609253,BC,18/19,66
69,M,-62.119755462818375,-33.90170806748167,107.069687,BC,18/19,69
70,M,-62.12276591050109,-33.89897871989309,107.069687,BC,18/19,70
71,M,-62.12049649609412,-33.90551363165171,104.382454,BC,18/19,71
72,S,-62.12438692079178,-33.90916527593218,104.382454,BC,18/19,72
73,N,-62.12975941204094,-33.89167440226404,106.855087,BC,18/19,73
74,M,-62.133835095057556,-33.89321220533399,106.855087,BC,18/19,74
75,M,-62.12776788511238,-33.89359665176907,105.67009,BC,18/19,75
76,M,-62.130778332795096,-33.895787963357535,105.67009,BC,18/19,76
77,M,-62.12605424566221,-33.89655683127237,106.481857,BC,18/19,77
78,M,-62.12906469334493,-33.89828675873475,106.481857,BC,18/19,78
79,M,-62.125313212386466,-33.89763323470701,106.715126,BC,18/19,79
80,N,-62.12387746041472,-33.90005509275592,106.715126,BC,18/19,80
81,M,-62.204650087471045,-33.86064330361107,111.809685,BC,18/19,81
82,S,-62.207058445617214,-33.86564287989032,111.809685,BC,18/19,82
83,M,-62.20006494407736,-33.861335570095044,112.518814,BC,18/19,83
85,M,-62.196267148539164,-33.86218166595385,113.526527,BC,18/19,85
86,S,-62.19802710256906,-33.86679658668831,113.526527,BC,18/19,86
88,S,-62.19506296946608,-33.86752725959644,116.922897,BC,18/19,88
89,S,-62.20858682674844,-33.847989221964845,110.176811,BC,18/19,89
92,S,-62.2176181697966,-33.85191257240996,111.287163,BC,18/19,92
93,N,-62.21168990359062,-33.85898953318211,107.797485,BC,18/19,93
94,N,-62.21400563257733,-33.863873832519786,107.797485,BC,18/19,94
100,M,-62.1625501344927,-33.873410871384124,115.915184,BC,18/19,100
101,P,-62.156621868286734,-33.869565419392295,116.633652,BC,18/19,101
102,M,-62.158381822316635,-33.87425684757276,116.633652,BC,18/19,102
